iter	Passed	Remaining
701	25556	10848
702	25593	10812
703	25629	10776
704	25664	10739
705	25698	10701
706	25732	10664
707	25770	10628
708	25805	10591
709	25842	10555
710	25877	10518
711	25912	10481
712	25946	10444
713	25983	10407
714	26024	10373
715	26063	10337
716	26109	10305
717	26146	10269
718	26185	10233
719	26225	10198
720	26261	10162
721	26297	10125
722	26334	10089
723	26371	10053
724	26407	10016
725	26441	9979
726	26475	9942
727	26511	9905
728	26545	9868
729	26580	9831
730	26616	9794
731	26650	9757
732	26684	9720
733	26717	9682
734	26751	9645
735	26784	9607
736	26819	9570
737	26853	9533
738	26888	9496
739	26922	9459
740	26957	9422
741	26995	9386
742	27037	9352
743	27073	9315
744	27107	9278
745	27141	9241
746	27174	9203
747	27208	9166
748	27243	9129
749	27276	9092
750	27310	9054
751	27346	9018
752	27380	8981
753	27414	8944
754	27448	8907
755	27482	8869
756	27516	8832
757	27551	8795
758	27586	8759
759	27627	8724
760	27660	8687
761	27694	8649
762	27727	8612
763	27760	8575
764	27795	8538
765	27829	8501
766	27864	8464
767	27898	8427
768	27932	8390
769	27967	8353
770	28005	8318
771	28042	8282
772	28077	8245
773	28110	8208
774	28144	8170
775	28177	8133
776	28211	8096
777	28270	8066
778	28299	8028
779	28333	7991
780	28368	7954
781	28407	7919
782	28443	7882
783	28478	7846
784	28512	7809
785	28558	7775
786	28601	7740
787	28643	7706
788	28676	7668
789	28709	7631
790	28747	7595
791	28782	7559
792	28820	7523
793	28857	7486
794	28894	7450
795	28936	7415
796	28973	7379
797	29012	7344
798	29056	7309
799	29094	7273
800	29137	7238
801	29188	7206
802	29229	7170
803	29267	7134
804	29309	7099
805	29354	7065
806	29393	7029
807	29431	6993
808	29473	6958
809	29512	6922
810	29551	6886
811	29595	6852
812	29636	6816
813	29674	6780
814	29715	6745
815	29751	6708
816	29790	6672
817	29836	6638
818	29876	6602
819	29923	6568
820	29974	6535
821	30014	6499
822	30048	6462
823	30087	6426
824	30123	6389
825	30156	6352
826	30199	6317
827	30233	6280
828	30267	6243
829	30301	6206
830	30334	6169
831	30370	6132
832	30409	6096
833	30443	6059
834	30478	6022
835	30520	5987
836	30556	5950
837	30591	5913
838	30624	5876
839	30658	5839
840	30690	5802
841	30725	5765
842	30759	5728
843	30793	5691
844	30828	5654
845	30863	5618
846	30897	5581
847	30929	5543
848	30963	5506
849	30996	5469
850	31030	5433
851	31064	5396
852	31098	5359
853	31133	5322
854	31167	5285
855	31201	5248
856	31235	5211
857	31269	5175
858	31304	5138
859	31344	5102
860	31378	5065
861	31412	5028
862	31444	4991
863	31486	4956
864	31534	4921
865	31573	4885
866	31628	4851
867	31661	4814
868	31702	4779
869	31735	4742
870	31768	4705
871	31803	4668
872	31837	4631
873	31871	4594
874	31908	4558
875	31942	4521
876	31974	4484
877	32009	4447
878	32042	4410
879	32084	4375
880	32118	4338
881	32151	4301
882	32185	4264
883	32218	4227
884	32251	4190
885	32282	4153
886	32316	4117
887	32351	4080
888	32384	4043
889	32418	4006
890	32453	3970
891	32486	3933
892	32523	3896
893	32580	3862
894	32610	3825
895	32643	3788
896	32678	3752
897	32713	3715
898	32746	3679
899	32779	3642
900	32813	3605
901	32847	3568
902	32880	3532
903	32915	3495
904	32947	3458
905	32981	3421
906	33014	3385
907	33048	3348
908	33082	3311
909	33115	3275
910	33151	3238
911	33192	3202
912	33225	3166
913	33260	3129
914	33293	3092
915	33328	3056
916	33364	3019
917	33397	2983
918	33442	2947
919	33476	2911
920	33509	2874
921	33545	2837
922	33581	2801
923	33622	2765
924	33655	2728
925	33689	2692
926	33722	2655
927	33756	2619
928	33790	2582
929	33825	2545
930	33859	2509
931	33896	2473
932	33930	2436
933	33963	2399
934	34001	2363
935	34038	2327
936	34073	2290
937	34112	2254
938	34144	2218
939	34185	2182
940	34218	2145
941	34253	2109
